station,n,persistence_mcc,majority_mcc
Dongsi,1460,0.1681312720053806,0.0
Huairou,1460,0.18851434200167105,0.0
Wanshouxigong,1460,0.17012472322916217,0.0
Dingling,1460,0.1951419404552042,0.0
