station,seed,hv_nsga2,hv_random,hv_tpe,n_front_nsga2,best_mcc_nsga2,best_phi_nsga2,tpe_mcc,tpe_phi,tpe_family
Dongsi,0,0.11171284920044539,0.11301629150935422,0.03711962228818284,9,0.2358672815908356,0.5895386904761905,0.2535205441690693,0.1464166243798699,rforest
Dongsi,1,0.09278749814873614,0.09253162269048727,0.02524542511010394,8,0.2361304824422352,0.4642518863859812,0.2415488118346215,0.10451479731305173,extratrees
Huairou,0,0.13072609218422657,0.12994406257827754,0.043194959955722374,9,0.2759629522128968,0.5737575757575758,0.30488625778312695,0.1416756539628887,rforest
Huairou,1,0.1168539754940928,0.11680443928280848,0.04833171787507298,7,0.3153141369653887,0.4689622754038076,0.3041924585308065,0.15888532578521594,rforest
Wanshouxigong,0,0.10320501112392126,0.10322762459523992,0.033717943807272985,9,0.2110112954608609,0.6004166666666666,0.21807807640246032,0.15461409217975194,rforest
Wanshouxigong,1,0.08983881124314384,0.08968502086359957,0.030113319722613403,8,0.2168958864160533,0.4747965524794673,0.2229414320435731,0.13507278322643887,rforest
Dingling,0,0.14527495587673755,0.14525572934937087,0.035581710459661464,12,0.2756961601944605,0.6510256410256411,0.2756961601944605,0.1290613203846007,rforest
Dingling,1,0.11626158689085228,0.11680457416362527,0.03563975311111894,10,0.278645255453634,0.5126625034217167,0.27864525545363406,0.12790367829194677,extratrees
